Name;FirstName;Login;PhoneNumber;Mail;Campus
TEST;TEST;TEST;TEST;TEST;TEST
talib;Ben;Bezaben;54145584;ujnhhysdgfs@ahgh.fr;Angers
oussa;Jacob;Jacoboussa;683454545;oussa@lune.fr;Rennes
bidule;;TESa;241668024;oussa@lune.fr;Saint-Herblain
ladder;;trea;241668025;oussa@lune.fr;Saint-Herblain
arthur;FILIP;PIZZa;241668026;oussa@lune.fr;Saint-Herblain
arno;BIDET;leplubo;241668027;oussa@lune.fr;Saint-Herblain
node;;dssda;241668028;oussa@lune.fr;Saint-Herblain
radioactif;stupeflip;aaay;241668029;oussa@lune.fr;Saint-Herblain
special;ragondin;ss;241668030;oussa@lune.fr;Saint-Herblain
;;yol;241668031;;Saint-Herblain
pingouin;ragondin;yolo;241668032;oussa@lune.fr;Saint-Herblain
loutre;ragondin;dquep;241668033;oussa@lune.fr;Saint-Herblain
potaufeu;ragondin;paul;241668034;;Saint-Herblain
;ragondin;queplou;241668035;oussa@lune.fr;Saint-Herblain
poutre;ragondin;kwak;241668036;oussa@lune.fr;Saint-Herblain
